run_id,epoch,train_si_sdr,val_si_sdr,lr
prur4hgw,1,0.8708,-0.5346,9.764e-04
prur4hgw,2,3.7575,0.6901,9.764e-04
prur4hgw,3,4.9628,1.5278,9.764e-04
prur4hgw,4,5.7640,1.9789,9.764e-04
prur4hgw,5,6.3168,2.5005,9.764e-04
prur4hgw,6,6.9219,2.5810,9.764e-04
prur4hgw,7,7.3624,3.1689,9.764e-04
prur4hgw,8,7.7767,3.2776,9.764e-04
prur4hgw,9,5.1446,-2.7133,9.764e-04
prur4hgw,10,1.1280,-0.9700,9.764e-04
prur4hgw,11,2.4321,-0.4533,9.764e-04
prur4hgw,12,3.1797,0.5349,5.499e-04
prur4hgw,13,4.0479,1.0837,5.499e-04
prur4hgw,14,4.4424,1.1327,5.499e-04
prur4hgw,15,4.7691,1.3450,5.499e-04
prur4hgw,16,5.0920,1.2256,3.097e-04
prur4hgw,17,5.6087,1.8408,3.097e-04
prur4hgw,18,5.8574,1.7313,3.097e-04
